Dash Size,O-Ring Cross Section Size,O-Ring Internal Diameter Size
001,1.02,0.74
002,1.27,1.07
003,1.52,1.42
004,1.78,1.78
005,1.78,2.57
006,1.78,2.90
007,1.78,3.68
008,1.78,4.47
009,1.78,5.28
010,1.78,6.07
011,1.78,7.65
012,1.78,9.25
013,1.78,10.82
014,1.78,12.42
015,1.78,14.00
016,1.78,15.60
017,1.78,17.17
018,1.78,18.77
019,1.78,20.35
020,1.78,21.95
021,1.78,23.52
022,1.78,25.12
023,1.78,26.70
024,1.78,28.30
025,1.78,29.87
026,1.78,31.47
027,1.78,33.05
028,1.78,34.65
029,1.78,37.82
030,1.78,41.00
031,1.78,44.17
032,1.78,47.35
033,1.78,50.52
034,1.78,53.70
035,1.78,56.87
036,1.78,60.05
037,1.78,63.22
038,1.78,66.40
039,1.78,69.57
040,1.78,72.75
041,1.78,75.92
042,1.78,82.27
043,1.78,88.62
044,1.78,94.97
045,1.78,101.32
046,1.78,107.67
047,1.78,114.02
048,1.78,120.37
049,1.78,126.72
050,1.78,133.07
102,2.62,1.24
103,2.62,2.06
104,2.62,2.84
105,2.62,3.63
106,2.62,4.42
107,2.62,5.23
108,2.62,6.02
109,2.62,7.59
110,2.62,9.19
111,2.62,10.77
112,2.62,12.37
113,2.62,13.94
114,2.62,15.54
115,2.62,17.12
116,2.62,18.72
117,2.62,20.29
118,2.62,21.89
119,2.62,23.47
120,2.62,25.07
121,2.62,26.64
122,2.62,28.24
123,2.62,29.82
124,2.62,31.42
125,2.62,32.99
126,2.62,34.59
127,2.62,36.17
128,2.62,37.77
129,2.62,39.34
130,2.62,40.94
131,2.62,42.52
132,2.62,44.12
133,2.62,45.69
134,2.62,47.29
135,2.62,48.90
136,2.62,50.47
137,2.62,52.07
138,2.62,53.64
139,2.62,55.25
140,2.62,56.82
141,2.62,58.42
142,2.62,59.99
143,2.62,61.60
144,2.62,63.17
145,2.62,64.77
146,2.62,66.34
147,2.62,67.95
148,2.62,69.52
149,2.62,71.12
150,2.62,72.69
151,2.62,75.87
152,2.62,82.22
153,2.62,88.57
154,2.62,94.92
155,2.62,101.27
156,2.62,107.62
157,2.62,113.97
158,2.62,120.32
159,2.62,126.67
160,2.62,133.02
161,2.62,139.37
162,2.62,145.72
163,2.62,152.07
164,2.62,158.42
165,2.62,164.77
166,2.62,171.12
167,2.62,177.47
168,2.62,183.82
169,2.62,190.17
170,2.62,196.52
171,2.62,202.87
172,2.62,209.22
173,2.62,215.57
174,2.62,221.92
175,2.62,228.27
176,2.62,234.62
177,2.62,240.97
178,2.62,247.32
201,3.53,4.34
202,3.53,5.94
203,3.53,7.52
204,3.53,9.12
205,3.53,10.69
206,3.53,12.29
207,3.53,13.87
208,3.53,15.47
209,3.53,17.04
210,3.53,18.64
211,3.53,20.22
212,3.53,21.82
213,3.53,23.39
214,3.53,24.99
215,3.53,26.57
216,3.53,28.17
217,3.53,29.74
218,3.53,31.34
219,3.53,32.92
220,3.53,34.52
221,3.53,36.09
222,3.53,37.69
223,3.53,40.87
224,3.53,44.04
225,3.53,47.22
226,3.53,50.39
227,3.53,53.57
228,3.53,56.74
229,3.53,59.92
230,3.53,63.09
231,3.53,66.27
232,3.53,69.44
233,3.53,72.62
234,3.53,75.79
235,3.53,78.97
236,3.53,82.14
237,3.53,85.32
238,3.53,88.49
239,3.53,91.67
240,3.53,94.84
241,3.53,98.02
242,3.53,101.19
243,3.53,104.37
244,3.53,107.54
245,3.53,110.72
246,3.53,113.89
247,3.53,117.07
248,3.53,120.24
249,3.53,123.42
250,3.53,126.59
251,3.53,129.77
252,3.53,132.94
253,3.53,136.12
254,3.53,139.29
255,3.53,142.47
256,3.53,145.64
257,3.53,148.82
258,3.53,151.99
259,3.53,158.34
260,3.53,164.69
261,3.53,171.04
262,3.53,177.39
263,3.53,183.74
264,3.53,190.09
265,3.53,196.44
266,3.53,202.79
267,3.53,209.14
268,3.53,215.49
269,3.53,221.84
270,3.53,228.19
271,3.53,234.54
272,3.53,240.89
273,3.53,247.24
274,3.53,253.59
275,3.53,266.29
276,3.53,278.99
277,3.53,291.69
278,3.53,304.39
279,3.53,329.79
280,3.53,355.19
281,3.53,380.59
282,3.53,405.26
283,3.53,430.66
284,3.53,456.06
309,5.33,10.46
310,5.33,12.07
311,5.33,13.64
312,5.33,15.24
313,5.33,16.81
314,5.33,18.42
315,5.33,19.99
316,5.33,21.59
317,5.33,23.16
318,5.33,24.77
319,5.33,26.34
320,5.33,27.94
321,5.33,29.51
322,5.33,31.12
323,5.33,32.69
324,5.33,34.29
325,5.33,37.47
326,5.33,40.64
327,5.33,43.82
328,5.33,46.99
329,5.33,50.17
330,5.33,53.34
331,5.33,56.52
332,5.33,59.69
333,5.33,62.87
334,5.33,66.04
335,5.33,69.22
336,5.33,72.39
337,5.33,75.57
338,5.33,78.74
339,5.33,81.92
340,5.33,85.09
341,5.33,88.27
342,5.33,91.44
343,5.33,94.62
344,5.33,97.79
345,5.33,100.97
346,5.33,104.14
347,5.33,107.32
348,5.33,110.49
349,5.33,113.67
350,5.33,116.84
351,5.33,120.02
352,5.33,123.19
353,5.33,126.37
354,5.33,129.54
355,5.33,132.72
356,5.33,135.89
357,5.33,139.07
358,5.33,142.24
359,5.33,145.42
360,5.33,148.59
361,5.33,151.77
362,5.33,158.12
363,5.33,164.47
364,5.33,170.82
365,5.33,177.17
366,5.33,183.52
367,5.33,189.87
368,5.33,196.22
369,5.33,202.57
370,5.33,208.92
371,5.33,215.27
372,5.33,221.62
373,5.33,227.97
374,5.33,234.32
375,5.33,240.67
376,5.33,247.02
377,5.33,253.37
378,5.33,266.07
379,5.33,278.77
380,5.33,291.47
381,5.33,304.17
382,5.33,329.57
383,5.33,354.97
384,5.33,380.37
385,5.33,405.26
386,5.33,430.66
387,5.33,456.06
388,5.33,481.46
389,5.33,506.86
390,5.33,532.26
391,5.33,557.66
392,5.33,582.68
393,5.33,608.08
394,5.33,633.48
395,5.33,658.88
425,6.99,113.67
426,6.99,116.84
427,6.99,120.02
428,6.99,123.19
429,6.99,126.37
430,6.99,129.54
431,6.99,132.72
432,6.99,135.89
433,6.99,139.07
434,6.99,142.24
435,6.99,145.42
436,6.99,148.59
437,6.99,151.77
438,6.99,158.12
439,6.99,164.47
440,6.99,170.82
441,6.99,177.17
442,6.99,183.52
443,6.99,189.87
444,6.99,196.22
445,6.99,202.57
446,6.99,215.27
447,6.99,227.97
448,6.99,240.67
449,6.99,253.37
450,6.99,266.07
451,6.99,278.77
452,6.99,291.47
453,6.99,304.17
454,6.99,316.87
455,6.99,329.57
456,6.99,342.27
457,6.99,354.97
458,6.99,367.67
459,6.99,380.37
460,6.99,393.07
461,6.99,405.26
462,6.99,417.96
463,6.99,430.66
464,6.99,443.36
465,6.99,456.06
466,6.99,468.76
467,6.99,481.46
468,6.99,494.16
469,6.99,506.86
470,6.99,532.26
471,6.99,557.66
472,6.99,582.68
473,6.99,608.08
474,6.99,633.48
475,6.99,658.88
901,1.42,4.70
902,1.63,6.07
903,1.63,7.65
904,1.83,8.92
905,1.83,10.52
906,1.98,11.89
907,2.08,13.46
908,2.21,16.36
909,2.46,17.93
910,2.46,19.18
911,2.95,21.92
912,2.95,23.47
913,2.95,25.04
914,2.95,26.59
916,2.95,29.74
918,2.95,34.42
920,3.00,37.47
924,3.00,43.69
928,3.00,53.09
932,3.00,59.36
